ppid,trial_num_in_block,time,start_time
d3-001,1,post,255
d3-001,2,post,265
d3-001,3,post,325
d3-001,4,post,335
d3-001,5,post,245
d3-001,6,post,295
d3-001,7,post,335
d3-001,8,post,365
d3-001,9,post,400
d3-001,10,post,435
d3-001,11,post,380
d3-001,12,post,345
d3-001,13,post,340
d3-001,14,post,470
d3-001,15,post,265
d3-001,16,post,330
d3-001,17,post,345
d3-001,18,post,355
d3-001,1,pre,4840
d3-001,2,pre,1710
d3-001,3,pre,315
d3-001,4,pre,340
d3-001,5,pre,315
d3-001,6,pre,350
d3-001,7,pre,225
d3-001,8,pre,305
d3-001,9,pre,290
d3-001,10,pre,345
d3-001,11,pre,305
d3-001,12,pre,340
d3-001,13,pre,295
d3-001,14,pre,320
d3-001,15,pre,300
d3-001,16,pre,410
d3-001,17,pre,315
d3-001,18,pre,355
d3-002,1,post,325
d3-002,2,post,235
d3-002,3,post,275
d3-002,4,post,195
d3-002,5,post,30
d3-002,6,post,160
d3-002,7,post,215
d3-002,8,post,230
d3-002,9,post,305
d3-002,10,post,240
d3-002,11,post,30
d3-002,12,post,50
d3-002,13,post,260
d3-002,14,post,270
d3-002,15,post,305
d3-002,16,post,195
d3-002,17,post,165
d3-002,18,post,240
d3-002,1,pre,6820
d3-002,2,pre,4910
d3-002,3,pre,16250
d3-002,4,pre,310
d3-002,5,pre,315
d3-002,6,pre,360
d3-002,7,pre,365
d3-002,8,pre,85
d3-002,9,pre,310
d3-002,10,pre,255
d3-002,11,pre,275
d3-002,12,pre,110
d3-002,13,pre,340
d3-002,14,pre,365
d3-002,15,pre,290
d3-002,16,pre,310
d3-002,17,pre,195
d3-002,18,pre,390
d3-003,1,post,465
d3-003,2,post,300
d3-003,3,post,335
d3-003,4,post,455
d3-003,5,post,535
d3-003,6,post,510
d3-003,7,post,370
d3-003,8,post,405
d3-003,9,post,365
d3-003,10,post,420
d3-003,11,post,475
d3-003,12,post,365
d3-003,13,post,395
d3-003,14,post,355
d3-003,15,post,340
d3-003,16,post,820
d3-003,17,post,400
d3-003,18,post,300
d3-003,1,pre,1775
d3-003,2,pre,565
d3-003,3,pre,455
d3-003,4,pre,710
d3-003,5,pre,445
d3-003,6,pre,560
d3-003,7,pre,445
d3-003,8,pre,445
d3-003,9,pre,485
d3-003,10,pre,455
d3-003,11,pre,440
d3-003,12,pre,415
d3-003,13,pre,390
d3-003,14,pre,440
d3-003,15,pre,410
d3-003,16,pre,380
d3-003,17,pre,390
d3-003,18,pre,320
d3-004,1,post,370
d3-004,2,post,335
d3-004,3,post,640
d3-004,4,post,625
d3-004,5,post,405
d3-004,6,post,405
d3-004,7,post,400
d3-004,8,post,360
d3-004,9,post,385
d3-004,10,post,350
d3-004,11,post,390
d3-004,12,post,490
d3-004,13,post,405
d3-004,14,post,515
d3-004,15,post,595
d3-004,16,post,335
d3-004,17,post,375
d3-004,18,post,355
d3-004,1,pre,365
d3-004,2,pre,1275
d3-004,3,pre,410
d3-004,4,pre,380
d3-004,5,pre,320
d3-004,6,pre,375
d3-004,7,pre,315
d3-004,8,pre,355
d3-004,9,pre,305
d3-004,10,pre,305
d3-004,11,pre,450
d3-004,12,pre,310
d3-004,13,pre,355
d3-004,14,pre,315
d3-004,15,pre,295
d3-004,16,pre,300
